NameWithOwner,Stars,Description
Snailclimb/JavaGuide,130889,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
iluwatar/java-design-patterns,79819,Design patterns implemented in Java
MisterBooo/LeetCodeAnimation,72336,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
doocs/advanced-java,68614,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识
spring-projects/spring-boot,65580,Spring Boot
macrozheng/mall,63558,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
elastic/elasticsearch,62718,"Free and Open, Distributed, RESTful Search Engine"
kdn251/interviews,59207,Everything you need to know to get the job.
GrowingGit/GitHub-Chinese-Top-Charts,59186,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。
spring-projects/spring-framework,50771,Spring Framework
TheAlgorithms/Java,50296,All Algorithms implemented in Java
ReactiveX/RxJava,46824,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.
google/guava,46783,Google core libraries for Java
square/retrofit,41143,A type-safe HTTP client for Android and the JVM
apache/dubbo,38414,"Apache Dubbo is a high-performance, java based, open source RPC framework."
NationalSecurityAgency/ghidra,37268,Ghidra is a software reverse engineering (SRE) framework
PhilJay/MPAndroidChart,36130,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations."
airbnb/lottie-android,33598,"Render After Effects animations natively on Android and iOS, Web, and React Native"
jeecgboot/jeecg-boot,33446,⭐️「企业级低代码平台」前后端分离架构SpringBoot 2.x，SpringCloud，Ant Design&Vue，Mybatis，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新的开发模式OnlineCoding->代码生成->手工MERGE，帮助Java项目解决70%重复工作，让开发更关注业务，既能快速提高效率，帮助公司节省成本，同时又不失灵活性。
bumptech/glide,33351,An image loading and caching library for Android focused on smooth scrolling
eugenp/tutorials,33308,"Just Announced - ""Learn Spring Security OAuth"": "
skylot/jadx,33303,Dex to Java decompiler
geekxh/hello-algorithm,32028,🌍 针对小白的算法训练 | 包括四部分：①.大厂面经 ②.力扣图解  ③.千本开源电子书 ④.百张技术思维导图（项目花了上百小时，希望可以点 star 支持，🌹感谢~）点击下方网站，马上开始刷题！
Blankj/AndroidUtilCode,31865,:fire: Android developers should collect the following utils(updating).
alibaba/arthas,31733,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas
zxing/zxing,30688,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android"
netty/netty,30679,Netty project - an event-driven asynchronous network application framework
dbeaver/dbeaver,30481,Free universal database tool and SQL client
xkcoding/spring-boot-demo,28690,🚀一个用来深入学习并实战 Spring Boot 的项目。
ityouknow/spring-boot-examples,28506,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 
apolloconfig/apollo,27734,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.
crossoverJie/JCSprout,26935,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm "
alibaba/easyexcel,26666,快速、简洁、解决大文件内存溢出的java处理Excel工具
alibaba/druid,26512,阿里云计算平台DataWorks(https://help.aliyun.com/document_detail/137663.html) 团队出品，为监控而生的数据库连接池
halo-dev/halo,25998,强大易用的开源建站工具。
SeleniumHQ/selenium,25823,A browser automation framework and ecosystem.
qiurunze123/miaosha,25709,⭐⭐⭐⭐秒杀系统设计与实现.互联网工程师进阶与分析🙋🐓
JakeWharton/butterknife,25666,Bind Android views and callbacks to fields and methods.
lenve/vhr,25514,微人事是一个前后端分离的人力资源管理系统，项目采用SpringBoot+Vue开发。
alibaba/nacos,25401,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications."
dromara/hutool,25397,🍬A set of tools that keep Java sweet.
alibaba/fastjson,25183,"FASTJSON 2.0.x has been released, faster and more secure, recommend you upgrade."
proxyee-down-org/proxyee-down,25125,http下载工具，基于http代理，支持多连接分块下载
wuyouzhuguli/SpringAll,25015,循序渐进，学习Spring Boot、Spring Boot & Shiro、Spring Batch、Spring Cloud、Spring Cloud Alibaba、Spring Security & Spring Security OAuth2，博客Spring系列源码：https://mrbird.cc
alibaba/canal,24987,阿里巴巴 MySQL binlog 增量订阅&消费组件 
alibaba/spring-cloud-alibaba,24739,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.
hollischuang/toBeTopJavaer,24345,To Be Top Javaer - Java工程师成神之路
greenrobot/EventBus,24260,"Event bus for Android and Java that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality."
apache/kafka,24170,Mirror of Apache Kafka
scwang90/SmartRefreshLayout,24066,🔥下拉刷新、上拉加载、二级刷新、淘宝二楼、RefreshLayout、OverScroll，Android智能下拉刷新框架，支持越界回弹、越界拖动，具有极强的扩展性，集成了几十种炫酷的Header和 Footer。
xuxueli/xxl-job,23566,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）
CymChad/BaseRecyclerViewAdapterHelper,23389,BRVAH:Powerful and flexible RecyclerAdapter
seata/seata,23321,":fire: Seata is an easy-to-use, high-performance, open source distributed transaction solution."
signalapp/Signal-Android,23295,A private messenger for Android.
Netflix/Hystrix,23186,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable."
TeamNewPipe/NewPipe,22766,A libre lightweight streaming front-end for Android.
google/gson,21838,A Java serialization/deserialization library to convert Java Objects into JSON and back
DrKLO/Telegram,21465,Telegram for Android source
apache/skywalking,21249,"APM, Application Performance Monitoring System"
libgdx/libgdx,21106,Desktop/Android/HTML5/iOS Java game development framework
doocs/leetcode,20948,😏 LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解
apache/flink,20646,Apache Flink
redisson/redisson,20592,"Redisson - Redis Java client with features of In-Memory Data Grid. Over 50 Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Publish / Subscribe, Bloom filter, Spring Cache, Tomcat, Scheduler, JCache API, Hibernate, MyBatis, RPC, local cache ..."
alibaba/Sentinel,20535,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)"
google/ExoPlayer,20385,An extensible media player for Android
jenkinsci/jenkins,20288,Jenkins automation server
bazelbuild/bazel,20275,"a fast, scalable, multi-language and extensible build system"
ReactiveX/RxAndroid,19772,RxJava bindings for Android
termux/termux-app,19401,Termux - a terminal emulator application for Android OS extendible by variety of packages.
didi/DoKit,19291,一款面向泛前端产品研发全生命周期的效率平台。
elunez/eladmin,19276,项目基于 Spring Boot 2.1.0 、 Jpa、 Spring Security、redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由
apache/rocketmq,18719,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications."
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,18631,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.
Baseflow/PhotoView,18439,"Implementation of ImageView for Android that supports zooming, by various touch gestures."
CarGuo/GSYVideoPlayer,18258,"视频播放器（IJKplayer、ExoPlayer、MediaPlayer），HTTPS，支持弹幕，外挂字幕，支持滤镜、水印、gif截图，片头广告、中间广告，多个同时播放，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，列表全屏动画，视频加载速度，列表小窗口支持拖动，动画效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，列表切换详情页面无缝播放，rtsp、concat、mpeg。 "
oracle/graal,18201,GraalVM: Run Programs Faster Anywhere :rocket:
mybatis/mybatis-3,18183,MyBatis SQL mapper framework for Java
apache/shardingsphere,17980,"Ecosystem to transform any database into a distributed database system, and enhance it with sharding, elastic scaling, encryption features & more"
brettwooldridge/HikariCP,17825,"光 HikariCP・A solid, high-performance, JDBC connection pool at last."
linlinjava/litemall,17722,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端
dianping/cat,17537,"CAT 作为服务端项目基础组件，提供了 Java, C/C++, Node.js, Python, Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。"
Anuken/Mindustry,17163,The automation tower defense RTS
forezp/SpringCloudLearning,17102,《史上最简单的Spring Cloud教程源码》
facebook/fresco,16908,An Android library for managing images and the memory they use.
nostra13/Android-Universal-Image-Loader,16817,"Powerful and flexible library for loading, caching and displaying images on Android."
Tencent/tinker,16691,"Tinker is a hot-fix solution library for Android, it supports dex, library and resources update without reinstall apk."
shuzheng/zheng,16453,基于Spring+SpringMVC+Mybatis分布式敏捷开发系统架构，提供整套公共微服务服务模块：集中权限管理（单点登录）、内容管理、支付中心、用户管理（支持第三方登录）、微信平台、存储系统、配置中心、日志分析、任务和通知等，支持服务治理、监控和追踪，努力为中小型企业打造全方位J2EE企业级开发解决方案。
winterbe/java8-tutorial,16164,Modern Java - A Guide to Java 8
yudaocode/SpringBoot-Labs,16015,一个涵盖六个专栏：Spring Boot 2.X、Spring Cloud、Spring Cloud Alibaba、Dubbo、分布式消息队列、分布式事务的仓库。希望胖友小手一抖，右上角来个 Star，感恩 1024
openzipkin/zipkin,15997,Zipkin is a distributed tracing system
LMAX-Exchange/disruptor,15728,High Performance Inter-Thread Messaging Library
iBotPeaches/Apktool,15687,A tool for reverse engineering Android apk files
android10/Android-CleanArchitecture,15296,This is a sample app that is part of a series of blog posts I have written about how to architect an android application using Uncle Bob's clean architecture approach.
JeffLi1993/springboot-learning-example,15264,spring boot 实践学习案例，是 spring boot 初学者及核心技术巩固的最佳实践。
OpenAPITools/openapi-generator,15255,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)"
openjdk/jdk,15055,JDK main-line development https://openjdk.org/projects/jdk
keycloak/keycloak,14987,Open Source Identity and Access Management For Modern Applications and Services
dyc87112/SpringBoot-Learning,14976,《Spring Boot基础教程》，2.x版本持续连载中！点击下方链接直达教程目录！
medcl/elasticsearch-analysis-ik,14757,"The IK Analysis plugin integrates Lucene IK analyzer into elasticsearch, support customized dictionary."
